,LON,LAT,bird_ID,light,tripID,interlength,year,sex,trip,date,TIME,trp.leng,DIST,SECS,CALC_SPD,COL_DIST,COL_BRG,STATUS1,DAY,PUT_BEH_24hr,CAMERA_BEH,No. of birds,CAM TIME=GPS TIME+1h,
197671,-5.473923,51.73053,G145,TRUE,1,0,2011,male,G145_1,22/07/2011 09:40,09:40,31907,NA,NA,NA,0.373,101.9,COL,D,TRAV,COLONY,,10:40,
197672,-5.467432,51.72861,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 09:41,09:41,31907,496.894,57,8.72,0.864,109.7,FLIGHT,D,SERFOR,SERFOR,,10:41,
197673,-5.463277,51.72813,G145,TRUE,1,59,2011,male,G145_1,22/07/2011 09:42,09:42,31907,292.088,59,4.95,1.153,107.4,FLIGHT,D,SERFOR,SERFOR,,10:42,
197674,-5.460032,51.72813,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 09:42,09:42,31907,224.208,57,3.93,1.369,104.6,FLIGHT,D,SERFOR,SERFOR,,10:42,
197675,-5.457943,51.72822,G145,TRUE,1,60,2011,male,G145_1,22/07/2011 09:43,09:43,31907,144.722,60,2.41,1.507,102.8,FLIGHT,D,SERFOR,SERFOR,,10:43,
197676,-5.455929,51.72767,G145,TRUE,1,56,2011,male,G145_1,22/07/2011 09:44,09:44,31907,152.331,56,2.72,1.656,103.8,FLIGHT,D,SERFOR,SERFOR,,10:44,
197677,-5.454855,51.72722,G145,TRUE,1,55,2011,male,G145_1,22/07/2011 09:45,09:45,31907,89.518,55,1.63,1.741,104.8,FLIGHT,D,SERFOR,SERFOR,,10:45,
197678,-5.45326,51.72786,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 09:46,09:46,31907,131.694,57,2.31,1.831,101.8,FLIGHT,D,SERFOR,SERFOR,,10:46,
197679,-5.459662,51.72521,G145,TRUE,1,55,2011,male,G145_1,22/07/2011 09:47,09:47,31907,531.67,55,9.67,1.507,116.3,FLIGHT,D,SERFOR,SERFOR,,10:47,
197680,-5.468111,51.7192,G145,TRUE,1,56,2011,male,G145_1,22/07/2011 09:48,09:48,31907,888.205,56,15.86,1.542,150.2,FLIGHT,D,SERFOR,SERFOR,,10:48,
197681,-5.476528,51.71249,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 09:49,09:49,31907,945.742,57,16.59,2.092,174.9,FLIGHT,D,SERFOR,SERFOR,,10:49,
197682,-5.479501,51.70306,G145,TRUE,1,56,2011,male,G145_1,22/07/2011 09:50,09:50,31907,1069.572,56,19.1,3.134,-179.6,FLIGHT,D,TRAV,TRAV,,10:50,
197683,-5.486166,51.69432,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 09:51,09:51,31907,1075.983,57,18.88,4.134,-173.3,FLIGHT,D,TRAV,TRAV,,10:51,
197684,-5.491407,51.68568,G145,TRUE,1,56,2011,male,G145_1,22/07/2011 09:52,09:52,31907,1027.037,56,18.34,5.137,-170.5,FLIGHT,D,TRAV,TRAV,,10:52,
197685,-5.489776,51.67662,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 09:53,09:53,31907,1014.32,57,17.8,6.119,-173.1,FLIGHT,D,TRAV,TRAV,,10:53,
197686,-5.496599,51.6676,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 09:54,09:54,31907,1109.133,57,19.46,7.18,-170.4,FLIGHT,D,TRAV,TRAV,,10:54,
197687,-5.505261,51.65973,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 09:55,09:55,31907,1061.462,57,18.62,8.156,-167.2,FLIGHT,D,TRAV,TRAV,,10:55,
197688,-5.511204,51.65113,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 09:56,09:56,31907,1040.978,57,18.26,9.182,-166,FLIGHT,D,TRAV,TRAV,,10:56,
197689,-5.520109,51.64409,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 09:57,09:57,31907,996.797,57,17.49,10.099,-163.7,FLIGHT,D,TRAV,TRAV,,10:57,
197690,-5.523865,51.63514,G145,TRUE,1,58,2011,male,G145_1,22/07/2011 09:58,09:58,31907,1029.601,58,17.75,11.128,-163.9,FLIGHT,D,OPPFOR,OPPFOR,,10:58,
197691,-5.524566,51.62962,G145,TRUE,1,58,2011,male,G145_1,22/07/2011 09:59,09:59,31907,615.961,58,10.62,11.732,-164.5,FLIGHT,D,TRAV,TRAV,,10:59,
197692,-5.53168,51.62082,G145,TRUE,1,58,2011,male,G145_1,22/07/2011 10:00,10:00,31907,1096.145,58,18.9,12.809,-163.5,FLIGHT,D,TRAV,TRAV,,11:00,
197693,-5.540201,51.61321,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:00,10:00,31907,1031.721,57,18.1,13.791,-162.2,FLIGHT,D,TRAV,TRAV,,11:00,
197694,-5.544613,51.60653,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:01,10:01,31907,804.018,57,14.11,14.593,-161.9,FLIGHT,D,TRAV,TRAV,,11:01,
197695,-5.549757,51.60006,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:02,10:02,31907,803.544,57,14.1,15.389,-161.5,FLIGHT,D,TRAV,TRAV,,11:02,
197696,-5.55566,51.5929,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:03,10:03,31907,894.805,57,15.7,16.274,-161,FLIGHT,D,TRAV,TRAV,,11:03,
197697,-5.564181,51.58559,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:04,10:04,31907,1005.364,57,17.64,17.237,-160,FLIGHT,D,TRAV,TRAV,,11:04,
197698,-5.567483,51.57684,G145,TRUE,1,58,2011,male,G145_1,22/07/2011 10:05,10:05,31907,1000.498,58,17.25,18.232,-160.4,FLIGHT,D,TRAV,TRAV,,11:05,
197699,-5.577838,51.56992,G145,TRUE,1,58,2011,male,G145_1,22/07/2011 10:06,10:06,31907,1052.687,58,18.15,19.202,-159.1,FLIGHT,D,TRAV,TRAV,,11:06,
197700,-5.586936,51.56304,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:07,10:07,31907,991.405,57,17.39,20.143,-158.2,FLIGHT,D,OPPFOR,OPPFOR,,11:07,
197701,-5.587561,51.55745,G145,TRUE,1,58,2011,male,G145_1,22/07/2011 10:08,10:08,31907,623.779,58,10.75,20.738,-158.8,FLIGHT,D,OPPFOR,OPPFOR,,11:08,
197702,-5.587373,51.55425,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:09,10:09,31907,356.267,57,6.25,21.066,-159.1,FLIGHT,D,SERFOR,SERFOR,,11:09,
197703,-5.584933,51.55105,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:10,10:10,31907,393.904,57,6.91,21.34,-159.9,FLIGHT,D,SERFOR,SERFOR,,11:10,
197704,-5.58932,51.5441,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:11,10:11,31907,831.391,57,14.59,22.172,-159.8,FLIGHT,D,SERFOR,SERFOR,,11:11,
197705,-5.598864,51.53555,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:12,10:12,31907,1158.941,57,20.33,23.294,-159.1,FLIGHT,D,SERFOR,SERFOR,,11:12,
197706,-5.606922,51.52777,G145,TRUE,1,58,2011,male,G145_1,22/07/2011 10:13,10:13,31907,1029.93,58,17.76,24.302,-158.6,FLIGHT,D,SERFOR,SERFOR,,11:13,
197707,-5.616873,51.52257,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:14,10:14,31907,901.428,57,15.81,25.096,-157.6,FLIGHT,D,TRAV,TRAV,,11:14,
197708,-5.627107,51.51881,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:15,10:15,31907,824.249,57,14.46,25.757,-156.5,FLIGHT,D,OPPFOR,OPPFOR,,11:15,
197709,-5.628127,51.51506,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:16,10:16,31907,422.744,57,7.42,26.168,-156.7,FLIGHT,D,SERFOR,SERFOR,,11:16,
197710,-5.628103,51.50606,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:17,10:17,31907,1001.991,57,17.58,27.092,-157.6,FLIGHT,D,SERFOR,SERFOR,,11:17,
197711,-5.638473,51.49986,G145,TRUE,1,58,2011,male,G145_1,22/07/2011 10:18,10:18,31907,997.067,58,17.19,28.006,-156.7,FLIGHT,D,SERFOR,SERFOR,,11:18,
197712,-5.640751,51.49872,G145,TRUE,1,58,2011,male,G145_1,22/07/2011 10:19,10:19,31907,202.548,58,3.49,28.185,-156.5,FLIGHT,D,SERFOR,SERFOR,,11:19,
197713,-5.641029,51.49882,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:20,10:20,31907,22.009,57,0.39,28.183,-156.5,WATER,D,REST,REST,,11:20,
197714,-5.6419,51.49879,G145,TRUE,1,56,2011,male,G145_1,22/07/2011 10:21,10:21,31907,60.553,56,1.08,28.209,-156.4,FLIGHT,D,REST,REST,,11:21,
197715,-5.646419,51.49685,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:21,10:21,31907,381.256,57,6.69,28.534,-156,FLIGHT,D,SERFOR,SERFOR,,11:21,
197716,-5.649461,51.48907,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:22,10:22,31907,890.347,57,15.62,29.41,-156.3,FLIGHT,D,OPPFOR,OPPFOR,,11:22,
197717,-5.648044,51.48543,G145,TRUE,1,56,2011,male,G145_1,22/07/2011 10:23,10:23,31907,416.658,56,7.44,29.743,-156.8,FLIGHT,D,SERFOR,SERFOR,,11:23,
197718,-5.657592,51.47659,G145,TRUE,1,59,2011,male,G145_1,22/07/2011 10:24,10:24,31907,1186.558,59,20.11,30.909,-156.4,FLIGHT,D,TRAV,TRAV,,11:24,
197719,-5.666859,51.47001,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:25,10:25,31907,974.609,57,17.1,31.838,-155.8,FLIGHT,D,TRAV,TRAV,,11:25,
197720,-5.677623,51.46433,G145,TRUE,1,56,2011,male,G145_1,22/07/2011 10:26,10:26,31907,979.494,56,17.49,32.723,-155.1,FLIGHT,D,OPPFOR,OPPFOR,,11:26,
197721,-5.686651,51.4604,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:27,10:27,31907,764.495,57,13.41,33.385,-154.4,FLIGHT,D,OPPFOR,OPPFOR,,11:27,
197722,-5.693119,51.4593,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:28,10:28,31907,466.073,57,8.18,33.691,-153.8,FLIGHT,D,SERFOR,SERFOR,,11:28,
197723,-5.702946,51.45603,G145,TRUE,1,56,2011,male,G145_1,22/07/2011 10:29,10:29,31907,773.612,56,13.81,34.32,-153.1,FLIGHT,D,TRAV,TRAV,,11:29,
197724,-5.709735,51.44779,G145,TRUE,1,57,2011,male,G145_1,22/07/2011 10:30,10:30,31907,1031.096,57,18.09,35.351,-153,FLIGHT,D,TRAV,TRAV,,11:30,
197725,-5.714019,51.43921,G145,TRUE,1,56,2011,male,G145_1,22/07/2011 10:31,10:31,31907,1000.291,56,17.86,36.338,-153.3,FLIGHT,D,TRAV,TRAV,,11:31,
