LON,LAT,bird_ID,light,tripID,interlength,year,sex,trip,date,TIME,trp.leng,DIST,STATUS1,DAY,PUT_BEH_24hr,CAMERA_BEH,No. of birds,CAM TIME=GPS TIME+1h
-5.469172,51.7267,G147,TRUE,1,581809,2011,male,G147_1,22/07/2011 10:20,10:20,18269,NA,COL,D,TRAV,COLONY,,11:20
-5.459889,51.72275,G147,TRUE,1,53,2011,male,G147_1,22/07/2011 10:21,10:21,18269,777.682,FLIGHT,D,TRAV,TRAV,,11:21
-5.453419,51.72197,G147,TRUE,1,53,2011,male,G147_1,22/07/2011 10:22,10:22,18269,455.478,FLIGHT,D,SERFOR,SERFOR,,11:22
-5.444077,51.71956,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:23,10:23,18269,698.919,FLIGHT,D,TRAV,TRAV,,11:23
-5.439357,51.71853,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:24,10:24,18269,345.584,FLIGHT,D,SERFOR,SERFOR,,11:24
-5.440929,51.71643,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:25,10:25,18269,258.278,FLIGHT,D,SERFOR,SERFOR,,11:25
-5.442307,51.71598,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:26,10:26,18269,107.234,FLIGHT,D,SERFOR,SERFOR,,11:26
-5.450561,51.71043,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:26,10:26,18269,841.346,FLIGHT,D,SERFOR,SERFOR,,11:26
-5.460663,51.70579,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:27,10:27,18269,868.272,FLIGHT,D,SERFOR,SERFOR,,11:27
-5.464963,51.69797,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:28,10:28,18269,918.712,FLIGHT,D,SERFOR,SERFOR,,11:28
-5.475176,51.69559,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:29,10:29,18269,754.312,FLIGHT,D,SERFOR,SERFOR,,11:29
-5.478599,51.69753,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:30,10:30,18269,320.168,FLIGHT,D,SERFOR,SERFOR,,11:30
-5.484149,51.69947,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:31,10:31,18269,440.37,FLIGHT,D,SERFOR,SERFOR,,11:31
-5.482405,51.69517,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:32,10:32,18269,493.386,FLIGHT,D,SERFOR,SERFOR,,11:32
-5.483437,51.69941,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:32,10:32,18269,477.335,FLIGHT,D,SERFOR,SERFOR,,11:32
-5.48544,51.70469,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:33,10:33,18269,603.128,FLIGHT,D,SERFOR,SERFOR,,11:33
-5.486792,51.70992,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:34,10:34,18269,589.356,FLIGHT,D,SERFOR,SERFOR,,11:34
-5.48787,51.71452,G147,TRUE,1,52,2011,male,G147_1,22/07/2011 10:35,10:35,18269,516.869,FLIGHT,D,SERFOR,SERFOR,,11:35
