TripMaxDisplacement,TripDuration,TripLength,NoDivesPerformed,DiveDurationUnderwater,Sex,Trip,BirdID
122.3822748100,89583.0000000000,459.4185630400,31.0000000000,104.0000000000,1.0000000000,1.0000000000,173.0000000000
78.2966516800,56915.0000000000,188.9777661800,8.0000000000,37.0000000000,1.0000000000,1.0000000000,174.0000000000
161.1598160100,71506.0000000000,394.5135154500,11.0000000000,39.0000000000,0.0000000000,1.0000000000,175.0000000000
212.6617126700,98473.0000000000,543.1778575000,19.0000000000,106.0000000000,1.0000000000,1.0000000000,176.0000000000
164.6057285000,160091.0000000000,667.5528464100,13.0000000000,83.0000000000,1.0000000000,1.0000000000,177.0000000000
128.5025097000,86355.0000000000,466.5965782500,131.0000000000,600.0000000000,1.0000000000,1.0000000000,178.0000000000
211.0018835400,159545.0000000000,647.4529316500,12.0000000000,50.4000000000,0.0000000000,1.0000000000,179.0000000000
186.3060461900,103544.0000000000,474.1644739800,17.0000000000,61.9000000000,1.0000000000,1.0000000000,180.0000000000
123.4737821500,78052.0000000000,448.5360513700,6.0000000000,14.6000000000,0.0000000000,1.0000000000,181.0000000000
161.0370892500,80544.0000000000,552.5840858400,22.0000000000,104.0000000000,1.0000000000,1.0000000000,198.0000000000
223.6798860800,108596.0000000000,572.5584784100,15.0000000000,51.0000000000,1.0000000000,1.0000000000,199.0000000000
135.1148604200,89798.0000000000,367.3204794100,3.0000000000,49.0000000000,1.0000000000,1.0000000000,200.0000000000
157.0920170200,84044.0000000000,525.0189687800,23.0000000000,72.0000000000,0.0000000000,1.0000000000,201.0000000000
145.1310827700,71480.0000000000,337.6712935700,14.0000000000,79.0000000000,0.0000000000,1.0000000000,202.0000000000
237.8302321500,99040.0000000000,669.0815775000,27.0000000000,99.0000000000,0.0000000000,1.0000000000,203.0000000000
65.3875341200,55879.0000000000,210.3168870500,0.0000000000,0.0000000000,0.0000000000,1.0000000000,204.0000000000
243.9173913200,182268.0000000000,713.4357640400,32.0000000000,96.0000000000,1.0000000000,1.0000000000,205.0000000000
